date_code,units,value,tourism_activity,breakdown_of_domestic_tourism
2019,million pounds (GBP),1662,Shopping for items that you do not regularly buy,Expenditure
2016,million pounds (GBP),469,Watched live sporting events (not on TV),Expenditure
2014,million pounds (GBP),892,"Night out to a bar, pub and/or club",Expenditure
2017,million pounds (GBP),354,"Special personal events e.g. wedding, graduation",Expenditure
2015,million pounds (GBP),400,Watched live sporting events (not on TV),Expenditure
2014,million pounds (GBP),421,Watched live sporting events (not on TV),Expenditure
2013,million pounds (GBP),243,Watched live sporting events (not on TV),Expenditure
2015,million pounds (GBP),264,Leisure activities e.g. hobbies & evening classes,Expenditure
2018,million pounds (GBP),285,Leisure activities e.g. hobbies & evening classes,Expenditure
2014,million pounds (GBP),1536,Shopping for items that you do not regularly buy,Expenditure
2018,million pounds (GBP),265,"Special personal events e.g. wedding, graduation",Expenditure
2016,million pounds (GBP),261,Leisure activities e.g. hobbies & evening classes,Expenditure
2017,million pounds (GBP),421,Leisure activities e.g. hobbies & evening classes,Expenditure
2014,million pounds (GBP),469,Leisure activities e.g. hobbies & evening classes,Expenditure
2019,million pounds (GBP),476,"Sport participation, e.g. exercise classes, gym",Expenditure
2017,million pounds (GBP),374,"Sport participation, e.g. exercise classes, gym",Expenditure
2015,million pounds (GBP),392,"Special public event e.g. festival, exhibition",Expenditure
2019,million pounds (GBP),629,"Special public event e.g. festival, exhibition",Expenditure
2014,million pounds (GBP),311,"Special public event e.g. festival, exhibition",Expenditure
2016,million pounds (GBP),205,"Special public event e.g. festival, exhibition",Expenditure
2017,million pounds (GBP),394,"Special public event e.g. festival, exhibition",Expenditure
2016,million pounds (GBP),1892,Went out for a meal,Expenditure
2014,million pounds (GBP),1966,Went out for a meal,Expenditure
2017,million pounds (GBP),551,Watched live sporting events (not on TV),Expenditure
2013,million pounds (GBP),1675,Went out for a meal,Expenditure
2019,million pounds (GBP),551,Watched live sporting events (not on TV),Expenditure
2013,million pounds (GBP),228,"Special public event e.g. festival, exhibition",Expenditure
2018,million pounds (GBP),496,Watched live sporting events (not on TV),Expenditure
2018,million pounds (GBP),1538,Shopping for items that you do not regularly buy,Expenditure
2016,million pounds (GBP),273,"Special personal events e.g. wedding, graduation",Expenditure
2017,million pounds (GBP),1561,Shopping for items that you do not regularly buy,Expenditure
2019,million pounds (GBP),266,"Special personal events e.g. wedding, graduation",Expenditure
2015,million pounds (GBP),1033,Shopping for items that you do not regularly buy,Expenditure
2014,million pounds (GBP),71,"Day out to a beauty/health centre/spa, etc.",Expenditure
2013,million pounds (GBP),1512,Shopping for items that you do not regularly buy,Expenditure
2014,million pounds (GBP),223,"Special personal events e.g. wedding, graduation",Expenditure
2016,million pounds (GBP),826,"Outdoor leisure activities e.g. walking, golf",Expenditure
2016,million pounds (GBP),1380,Shopping for items that you do not regularly buy,Expenditure
2013,million pounds (GBP),85,"Special personal events e.g. wedding, graduation",Expenditure
2015,million pounds (GBP),87,"Day out to a beauty/health centre/spa, etc.",Expenditure
2013,million pounds (GBP),147,Leisure activities e.g. hobbies & evening classes,Expenditure
2015,million pounds (GBP),142,"Special personal events e.g. wedding, graduation",Expenditure
2018,million pounds (GBP),893,"Outdoor leisure activities e.g. walking, golf",Expenditure
2019,million pounds (GBP),1111,"Night out to a bar, pub and/or club",Expenditure
2019,million pounds (GBP),1059,"Outdoor leisure activities e.g. walking, golf",Expenditure
2017,million pounds (GBP),1276,"Outdoor leisure activities e.g. walking, golf",Expenditure
2018,million pounds (GBP),1150,"Night out to a bar, pub and/or club",Expenditure
2019,million pounds (GBP),507,Leisure activities e.g. hobbies & evening classes,Expenditure
2013,million pounds (GBP),840,"Night out to a bar, pub and/or club",Expenditure
2015,million pounds (GBP),647,"Outdoor leisure activities e.g. walking, golf",Expenditure
2017,million pounds (GBP),1298,"Night out to a bar, pub and/or club",Expenditure
2016,million pounds (GBP),69,"Day out to a beauty/health centre/spa, etc.",Expenditure
2013,million pounds (GBP),699,"Outdoor leisure activities e.g. walking, golf",Expenditure
2014,million pounds (GBP),571,"Outdoor leisure activities e.g. walking, golf",Expenditure
2016,million pounds (GBP),973,"Night out to a bar, pub and/or club",Expenditure
2015,million pounds (GBP),876,"Night out to a bar, pub and/or club",Expenditure
2013,million pounds (GBP),414,"Visitor attraction e.g. theme park, museum, zoo",Expenditure
2015,million pounds (GBP),506,General day out/ to explore an area,Expenditure
2015,million pounds (GBP),345,"Visitor attraction e.g. theme park, museum, zoo",Expenditure
2017,million pounds (GBP),742,"Visitor attraction e.g. theme park, museum, zoo",Expenditure
2018,million pounds (GBP),396,"Sport participation, e.g. exercise classes, gym",Expenditure
2018,million pounds (GBP),1010,General day out/ to explore an area,Expenditure
2016,million pounds (GBP),806,General day out/ to explore an area,Expenditure
2018,million pounds (GBP),87,"Day out to a beauty/health centre/spa, etc.",Expenditure
2019,million pounds (GBP),443,"Visitor attraction e.g. theme park, museum, zoo",Expenditure
2013,million pounds (GBP),474,"Entertainment - to a cinema, concert or theatre",Expenditure
2017,million pounds (GBP),252,"Day out to a beauty/health centre/spa, etc.",Expenditure
2019,million pounds (GBP),341,"Day out to a beauty/health centre/spa, etc.",Expenditure
2018,million pounds (GBP),467,"Visitor attraction e.g. theme park, museum, zoo",Expenditure
2013,million pounds (GBP),145,"Day out to a beauty/health centre/spa, etc.",Expenditure
2014,million pounds (GBP),599,Day trips/excursions for other leisure purpose,Expenditure
2017,million pounds (GBP),1042,General day out/ to explore an area,Expenditure
2013,million pounds (GBP),312,Day trips/excursions for other leisure purpose,Expenditure
2015,million pounds (GBP),269,Day trips/excursions for other leisure purpose,Expenditure
2018,million pounds (GBP),362,Day trips/excursions for other leisure purpose,Expenditure
2013,million pounds (GBP),528,General day out/ to explore an area,Expenditure
2019,million pounds (GBP),869,General day out/ to explore an area,Expenditure
2014,million pounds (GBP),317,"Sport participation, e.g. exercise classes, gym",Expenditure
2016,million pounds (GBP),289,"Sport participation, e.g. exercise classes, gym",Expenditure
2014,million pounds (GBP),715,General day out/ to explore an area,Expenditure
2015,million pounds (GBP),215,"Sport participation, e.g. exercise classes, gym",Expenditure
2019,million pounds (GBP),406,Day trips/excursions for other leisure purpose,Expenditure
2017,million pounds (GBP),443,Day trips/excursions for other leisure purpose,Expenditure
2013,million pounds (GBP),143,"Sport participation, e.g. exercise classes, gym",Expenditure
2017,million pounds (GBP),5995,All,Expenditure
2019,million pounds (GBP),2078,Went out for a meal,Expenditure
2019,million pounds (GBP),5777,All,Expenditure
2015,million pounds (GBP),3922,All,Expenditure
2013,million pounds (GBP),1065,Visited friends or family for leisure,Expenditure
2015,million pounds (GBP),1631,Went out for a meal,Expenditure
2017,million pounds (GBP),2208,Went out for a meal,Expenditure
2016,million pounds (GBP),4916,All,Expenditure
2013,million pounds (GBP),4647,All,Expenditure
2018,million pounds (GBP),191,"Special public event e.g. festival, exhibition",Expenditure
2018,million pounds (GBP),5474,All,Expenditure
2017,million pounds (GBP),1818,Visited friends or family for leisure,Expenditure
2014,million pounds (GBP),5020,All,Expenditure
2019,million pounds (GBP),1841,Visited friends or family for leisure,Expenditure
2014,million pounds (GBP),462,"Visitor attraction e.g. theme park, museum, zoo",Expenditure
2014,million pounds (GBP),469,"Entertainment - to a cinema, concert or theatre",Expenditure
2018,million pounds (GBP),577,"Entertainment - to a cinema, concert or theatre",Expenditure
2016,million pounds (GBP),378,"Visitor attraction e.g. theme park, museum, zoo",Expenditure
2016,million pounds (GBP),330,Day trips/excursions for other leisure purpose,Expenditure
2015,million pounds (GBP),593,"Entertainment - to a cinema, concert or theatre",Expenditure
2019,million pounds (GBP),620,"Entertainment - to a cinema, concert or theatre",Expenditure
2016,million pounds (GBP),1158,Visited friends or family for leisure,Expenditure
2015,million pounds (GBP),1186,Visited friends or family for leisure,Expenditure
2018,million pounds (GBP),1959,Went out for a meal,Expenditure
2014,million pounds (GBP),1376,Visited friends or family for leisure,Expenditure
2017,million pounds (GBP),903,"Entertainment - to a cinema, concert or theatre",Expenditure
2016,million pounds (GBP),604,"Entertainment - to a cinema, concert or theatre",Expenditure
2018,million pounds (GBP),1698,Visited friends or family for leisure,Expenditure
2013,Million Visits,11,"Visitor attraction e.g. theme park, museum, zoo",Visits
2013,Million Visits,6,Leisure activities e.g. hobbies & evening classes,Visits
2018,Million Visits,14,"Visitor attraction e.g. theme park, museum, zoo",Visits
2019,Million Visits,13,"Visitor attraction e.g. theme park, museum, zoo",Visits
2013,Million Visits,1,"Day out to a beauty/health centre/spa, etc.",Visits
2016,Million Visits,2,"Day out to a beauty/health centre/spa, etc.",Visits
2017,Million Visits,14,"Visitor attraction e.g. theme park, museum, zoo",Visits
2014,Million Visits,5,"Sport participation, e.g. exercise classes, gym",Visits
2015,Million Visits,7,"Sport participation, e.g. exercise classes, gym",Visits
2015,Million Visits,16,Shopping for items that you do not regularly buy,Visits
2013,Million Visits,5,"Sport participation, e.g. exercise classes, gym",Visits
2016,Million Visits,9,Leisure activities e.g. hobbies & evening classes,Visits
2015,Million Visits,11,"Visitor attraction e.g. theme park, museum, zoo",Visits
2014,Million Visits,8,Leisure activities e.g. hobbies & evening classes,Visits
2017,Million Visits,15,"Entertainment - to a cinema, concert or theatre",Visits
2016,Million Visits,12,Day trips/excursions for other leisure purpose,Visits
2014,Million Visits,12,"Entertainment - to a cinema, concert or theatre",Visits
2013,Million Visits,11,"Entertainment - to a cinema, concert or theatre",Visits
2014,Million Visits,10,Day trips/excursions for other leisure purpose,Visits
2013,Million Visits,9,Day trips/excursions for other leisure purpose,Visits
2015,Million Visits,9,Day trips/excursions for other leisure purpose,Visits
2018,Million Visits,3,"Day out to a beauty/health centre/spa, etc.",Visits
2015,Million Visits,10,Leisure activities e.g. hobbies & evening classes,Visits
2019,Million Visits,5,"Day out to a beauty/health centre/spa, etc.",Visits
2015,Million Visits,2,"Day out to a beauty/health centre/spa, etc.",Visits
2014,Million Visits,2,"Day out to a beauty/health centre/spa, etc.",Visits
2018,Million Visits,13,"Entertainment - to a cinema, concert or theatre",Visits
2017,Million Visits,4,"Day out to a beauty/health centre/spa, etc.",Visits
2019,Million Visits,9,Day trips/excursions for other leisure purpose,Visits
2015,Million Visits,19,"Night out to a bar, pub and/or club",Visits
2013,Million Visits,18,"Night out to a bar, pub and/or club",Visits
2018,Million Visits,10,Day trips/excursions for other leisure purpose,Visits
2018,Million Visits,25,General day out/ to explore an area,Visits
2017,Million Visits,25,General day out/ to explore an area,Visits
2018,Million Visits,19,"Night out to a bar, pub and/or club",Visits
2019,Million Visits,24,General day out/ to explore an area,Visits
2016,Million Visits,19,General day out/ to explore an area,Visits
2019,Million Visits,18,"Night out to a bar, pub and/or club",Visits
2014,Million Visits,20,"Night out to a bar, pub and/or club",Visits
2014,Million Visits,19,General day out/ to explore an area,Visits
2013,Million Visits,17,General day out/ to explore an area,Visits
2015,Million Visits,18,General day out/ to explore an area,Visits
2017,Million Visits,10,"Special public event e.g. festival, exhibition",Visits
2019,Million Visits,20,Shopping for items that you do not regularly buy,Visits
2018,Million Visits,7,"Special public event e.g. festival, exhibition",Visits
2018,Million Visits,18,Shopping for items that you do not regularly buy,Visits
2016,Million Visits,20,"Night out to a bar, pub and/or club",Visits
2018,Million Visits,9,"Sport participation, e.g. exercise classes, gym",Visits
2016,Million Visits,8,"Sport participation, e.g. exercise classes, gym",Visits
2019,Million Visits,7,"Sport participation, e.g. exercise classes, gym",Visits
2017,Million Visits,21,Shopping for items that you do not regularly buy,Visits
2017,Million Visits,23,"Night out to a bar, pub and/or club",Visits
2017,Million Visits,9,Day trips/excursions for other leisure purpose,Visits
2017,Million Visits,10,"Sport participation, e.g. exercise classes, gym",Visits
2019,Million Visits,8,"Special public event e.g. festival, exhibition",Visits
2016,Million Visits,18,Shopping for items that you do not regularly buy,Visits
2016,Million Visits,142,All,Visits
2019,Million Visits,13,Watched live sporting events (not on TV),Visits
2015,Million Visits,124,All,Visits
2015,Million Visits,5,"Special personal events e.g. wedding, graduation",Visits
2015,Million Visits,8,"Special public event e.g. festival, exhibition",Visits
2015,Million Visits,24,"Outdoor leisure activities e.g. walking, golf",Visits
2015,Million Visits,12,Watched live sporting events (not on TV),Visits
2016,Million Visits,5,"Special personal events e.g. wedding, graduation",Visits
2014,Million Visits,41,Visited friends or family for leisure,Visits
2014,Million Visits,4,"Special personal events e.g. wedding, graduation",Visits
2019,Million Visits,134,All,Visits
2018,Million Visits,5,"Special personal events e.g. wedding, graduation",Visits
2017,Million Visits,49,Visited friends or family for leisure,Visits
2018,Million Visits,45,Visited friends or family for leisure,Visits
2013,Million Visits,15,Shopping for items that you do not regularly buy,Visits
2019,Million Visits,30,"Outdoor leisure activities e.g. walking, golf",Visits
2016,Million Visits,6,"Special public event e.g. festival, exhibition",Visits
2013,Million Visits,8,Watched live sporting events (not on TV),Visits
2016,Million Visits,36,Went out for a meal,Visits
2014,Million Visits,17,Shopping for items that you do not regularly buy,Visits
2016,Million Visits,30,"Outdoor leisure activities e.g. walking, golf",Visits
2014,Million Visits,8,"Special public event e.g. festival, exhibition",Visits
2017,Million Visits,12,Watched live sporting events (not on TV),Visits
2013,Million Visits,6,"Special public event e.g. festival, exhibition",Visits
2016,Million Visits,12,Watched live sporting events (not on TV),Visits
2014,Million Visits,9,Watched live sporting events (not on TV),Visits
2018,Million Visits,11,Watched live sporting events (not on TV),Visits
2013,Million Visits,22,"Outdoor leisure activities e.g. walking, golf",Visits
2016,Million Visits,44,Visited friends or family for leisure,Visits
2019,Million Visits,33,Went out for a meal,Visits
2019,Million Visits,13,"Entertainment - to a cinema, concert or theatre",Visits
2017,Million Visits,6,"Special personal events e.g. wedding, graduation",Visits
2015,Million Visits,46,Visited friends or family for leisure,Visits
2013,Million Visits,41,Visited friends or family for leisure,Visits
2017,Million Visits,39,Went out for a meal,Visits
2018,Million Visits,9,Leisure activities e.g. hobbies & evening classes,Visits
2014,Million Visits,11,"Visitor attraction e.g. theme park, museum, zoo",Visits
2016,Million Visits,13,"Visitor attraction e.g. theme park, museum, zoo",Visits
2016,Million Visits,13,"Entertainment - to a cinema, concert or theatre",Visits
2017,Million Visits,9,Leisure activities e.g. hobbies & evening classes,Visits
2015,Million Visits,12,"Entertainment - to a cinema, concert or theatre",Visits
2019,Million Visits,11,Leisure activities e.g. hobbies & evening classes,Visits
2014,Million Visits,127,All,Visits
2013,Million Visits,124,All,Visits
2018,Million Visits,25,"Outdoor leisure activities e.g. walking, golf",Visits
2014,Million Visits,22,"Outdoor leisure activities e.g. walking, golf",Visits
2017,Million Visits,151,All,Visits
2013,Million Visits,4,"Special personal events e.g. wedding, graduation",Visits
2018,Million Visits,138,All,Visits
2014,Million Visits,31,Went out for a meal,Visits
2015,Million Visits,35,Went out for a meal,Visits
2019,Million Visits,49,Visited friends or family for leisure,Visits
2019,Million Visits,6,"Special personal events e.g. wedding, graduation",Visits
2013,Million Visits,29,Went out for a meal,Visits
2018,Million Visits,38,Went out for a meal,Visits
2017,Million Visits,35,"Outdoor leisure activities e.g. walking, golf",Visits
