FeatureCode,DateCode,Measurement,Units,Value,Method of Travel,Breakdown of Domestic Tourism
S92000003,2018,Count,million pounds (GBP),251.8,Walked,Expenditure
S92000003,2018,Count,million pounds (GBP),1.8,Caravan/Campervan,Expenditure
S92000003,2014,Count,million pounds (GBP),97.8,Walked,Expenditure
S92000003,2017,Count,million pounds (GBP),168.8,Walked,Expenditure
S92000003,2018,Count,million pounds (GBP),193.1,Plane,Expenditure
S92000003,2015,Count,million pounds (GBP),89.4,Plane,Expenditure
S92000003,2013,Count,million pounds (GBP),36.7,Plane,Expenditure
S92000003,2016,Count,million pounds (GBP),8.3,Plane,Expenditure
S92000003,2019,Count,million pounds (GBP),205.8,Walked,Expenditure
S92000003,2014,Count,million pounds (GBP),21.8,Boat/Ship/Ferry,Expenditure
S92000003,2016,Count,million pounds (GBP),135.3,Walked,Expenditure
S92000003,2019,Count,million pounds (GBP),417.2,Bus or Coach - Regular,Expenditure
S92000003,2015,Count,million pounds (GBP),117.2,Walked,Expenditure
S92000003,2013,Count,million pounds (GBP),154.9,Walked,Expenditure
S92000003,2015,Count,million pounds (GBP),385.4,Bus or Coach - Regular,Expenditure
S92000003,2014,Count,million pounds (GBP),907.4,Train,Expenditure
S92000003,2018,Count,million pounds (GBP),192.4,Taxi,Expenditure
S92000003,2014,Count,million pounds (GBP),219.9,Taxi,Expenditure
S92000003,2015,Count,million pounds (GBP),96.1,Taxi,Expenditure
S92000003,2014,Count,million pounds (GBP),38.2,Plane,Expenditure
S92000003,2013,Count,million pounds (GBP),163.8,Taxi,Expenditure
S92000003,2019,Count,million pounds (GBP),123.5,Plane,Expenditure
S92000003,2019,Count,million pounds (GBP),224.4,Taxi,Expenditure
S92000003,2016,Count,million pounds (GBP),8.6,Bicycle,Expenditure
S92000003,2013,Count,million pounds (GBP),3.4,Bicycle,Expenditure
S92000003,2017,Count,million pounds (GBP),114.7,Plane,Expenditure
S92000003,2018,Count,million pounds (GBP),12.8,Bicycle,Expenditure
S92000003,2019,Count,million pounds (GBP),15.5,Bicycle,Expenditure
S92000003,2016,Count,million pounds (GBP),277.5,Taxi,Expenditure
S92000003,2017,Count,million pounds (GBP),28.6,Bicycle,Expenditure
S92000003,2017,Count,million pounds (GBP),27.8,Boat/Ship/Ferry,Expenditure
S92000003,2018,Count,million pounds (GBP),452.2,Bus or Coach - Regular,Expenditure
S92000003,2014,Count,million pounds (GBP),8.4,Bus or Coach - Minibus,Expenditure
S92000003,2018,Count,million pounds (GBP),2.1,Lorry/Truck/Van,Expenditure
S92000003,2018,Count,million pounds (GBP),2.1,Boat/Ship/Ferry,Expenditure
S92000003,2013,Count,million pounds (GBP),12.2,Boat/Ship/Ferry,Expenditure
S92000003,2013,Count,million pounds (GBP),629.5,Bus or Coach - Regular,Expenditure
S92000003,2015,Count,million pounds (GBP),16.1,Boat/Ship/Ferry,Expenditure
S92000003,2014,Count,million pounds (GBP),677.3,Bus or Coach - Regular,Expenditure
S92000003,2016,Count,million pounds (GBP),2.4,Boat/Ship/Ferry,Expenditure
S92000003,2019,Count,million pounds (GBP),27.7,Boat/Ship/Ferry,Expenditure
S92000003,2016,Count,million pounds (GBP),414.7,Bus or Coach - Regular,Expenditure
S92000003,2013,Count,million pounds (GBP),2.9,Bus or Coach - Minibus,Expenditure
S92000003,2016,Count,million pounds (GBP),4.3,Lorry/Truck/Van,Expenditure
S92000003,2015,Count,million pounds (GBP),27.6,Bus or Coach - Minibus,Expenditure
S92000003,2017,Count,million pounds (GBP),10.7,Caravan/Campervan,Expenditure
S92000003,2019,Count,million pounds (GBP),24.2,Caravan/Campervan,Expenditure
S92000003,2019,Count,million pounds (GBP),114.8,Bus or Coach - Organised Tour,Expenditure
S92000003,2018,Count,million pounds (GBP),13.3,Bus or Coach - Organised Tour,Expenditure
S92000003,2015,Count,million pounds (GBP),73.8,Bus or Coach - Organised Tour,Expenditure
S92000003,2017,Count,million pounds (GBP),435.9,Bus or Coach - Regular,Expenditure
S92000003,2013,Count,million pounds (GBP),104.8,Bus or Coach - Organised Tour,Expenditure
S92000003,2014,Count,million pounds (GBP),27.5,Caravan/Campervan,Expenditure
S92000003,2016,Count,million pounds (GBP),38.1,Caravan/Campervan,Expenditure
S92000003,2015,Count,million pounds (GBP),11.8,Caravan/Campervan,Expenditure
S92000003,2017,Count,million pounds (GBP),106.4,Bus or Coach - Organised Tour,Expenditure
S92000003,2013,Count,million pounds (GBP),5.1,Caravan/Campervan,Expenditure
S92000003,2016,Count,million pounds (GBP),59.2,Bus or Coach - Organised Tour,Expenditure
S92000003,2014,Count,million pounds (GBP),16.2,Bus or Coach - Organised Tour,Expenditure
S92000003,2014,Count,million pounds (GBP),3.5,Other,Expenditure
S92000003,2015,Count,million pounds (GBP),9.5,Other,Expenditure
S92000003,2017,Count,million pounds (GBP),46.7,Other,Expenditure
S92000003,2019,Count,million pounds (GBP),30.7,Other,Expenditure
S92000003,2016,Count,million pounds (GBP),762.8,Train,Expenditure
S92000003,2017,Count,million pounds (GBP),10.4,Tube,Expenditure
S92000003,2018,Count,million pounds (GBP),4.3,Tube,Expenditure
S92000003,2013,Count,million pounds (GBP),40.8,Tube,Expenditure
S92000003,2013,Count,million pounds (GBP),0.4,Lorry/Truck/Van,Expenditure
S92000003,2017,Count,million pounds (GBP),9.7,Lorry/Truck/Van,Expenditure
S92000003,2016,Count,million pounds (GBP),4916.1,All,Expenditure
S92000003,2015,Count,million pounds (GBP),4.3,Lorry/Truck/Van,Expenditure
S92000003,2019,Count,million pounds (GBP),6.5,Lorry/Truck/Van,Expenditure
S92000003,2016,Count,million pounds (GBP),21.4,Other,Expenditure
S92000003,2014,Count,million pounds (GBP),0.2,Lorry/Truck/Van,Expenditure
S92000003,2018,Count,million pounds (GBP),131.9,Car - hired,Expenditure
S92000003,2017,Count,million pounds (GBP),254.1,Car - hired,Expenditure
S92000003,2019,Count,million pounds (GBP),138.9,Car - hired,Expenditure
S92000003,2015,Count,million pounds (GBP),46,Car - hired,Expenditure
S92000003,2013,Count,million pounds (GBP),31.4,Car - hired,Expenditure
S92000003,2015,Count,million pounds (GBP),0.9,Tube,Expenditure
S92000003,2014,Count,million pounds (GBP),5.3,Tube,Expenditure
S92000003,2019,Count,million pounds (GBP),23.6,Tube,Expenditure
S92000003,2019,Count,million pounds (GBP),866.6,Train,Expenditure
S92000003,2015,Count,million pounds (GBP),581.7,Train,Expenditure
S92000003,2016,Count,million pounds (GBP),6.1,Tube,Expenditure
S92000003,2013,Count,million pounds (GBP),635.9,Train,Expenditure
S92000003,2017,Count,million pounds (GBP),1276.3,Train,Expenditure
S92000003,2014,Count,million pounds (GBP),66,Car - hired,Expenditure
S92000003,2018,Count,million pounds (GBP),855.4,Train,Expenditure
S92000003,2017,Count,million pounds (GBP),3324.9,Car - own/friends/family,Expenditure
S92000003,2019,Count,million pounds (GBP),3554.1,Car - own/friends/family,Expenditure
S92000003,2014,Count,million pounds (GBP),2922.2,Car - own/friends/family,Expenditure
S92000003,2018,Count,million pounds (GBP),3269.8,Car - own/friends/family,Expenditure
S92000003,2019,Count,million pounds (GBP),3.9,Tram,Expenditure
S92000003,2014,Count,million pounds (GBP),2.9,Bicycle,Expenditure
S92000003,2013,Count,million pounds (GBP),0,Tram,Expenditure
S92000003,2015,Count,million pounds (GBP),9.1,Tram,Expenditure
S92000003,2013,Count,million pounds (GBP),4.3,Motor cycle,Expenditure
S92000003,2016,Count,million pounds (GBP),3025.2,Car - own/friends/family,Expenditure
S92000003,2017,Count,million pounds (GBP),151.7,Taxi,Expenditure
S92000003,2015,Count,million pounds (GBP),2443.4,Car - own/friends/family,Expenditure
S92000003,2015,Count,million pounds (GBP),1.5,Motor cycle,Expenditure
S92000003,2013,Count,million pounds (GBP),2805.6,Car - own/friends/family,Expenditure
S92000003,2014,Count,million pounds (GBP),1.2,Motor cycle,Expenditure
S92000003,2018,Count,million pounds (GBP),44.2,Other,Expenditure
S92000003,2015,Count,million pounds (GBP),3921.5,All,Expenditure
S92000003,2017,Count,million pounds (GBP),5995,All,Expenditure
S92000003,2013,Count,million pounds (GBP),14.9,Other,Expenditure
S92000003,2016,Count,million pounds (GBP),146.3,Car - hired,Expenditure
S92000003,2018,Count,million pounds (GBP),5473.9,All,Expenditure
S92000003,2019,Count,million pounds (GBP),5777.3,All,Expenditure
S92000003,2017,Count,million pounds (GBP),10.1,Tram,Expenditure
S92000003,2014,Count,million pounds (GBP),4.4,Tram,Expenditure
S92000003,2015,Count,million pounds (GBP),7.9,Bicycle,Expenditure
S92000003,2016,Count,million pounds (GBP),5.7,Tram,Expenditure
S92000003,2013,Count,million pounds (GBP),4646.7,All,Expenditure
S92000003,2014,Count,million pounds (GBP),5020.2,All,Expenditure
S92000003,2018,Count,million pounds (GBP),46.8,Tram,Expenditure
S92000003,2015,Count,Million Visits,0.6,Other,Visits
S92000003,2018,Count,Million Visits,2,Other,Visits
S92000003,2014,Count,Million Visits,1,Other,Visits
S92000003,2014,Count,Million Visits,0.2,Lorry/Truck/Van,Visits
S92000003,2014,Count,Million Visits,0.6,Boat/Ship/Ferry,Visits
S92000003,2017,Count,Million Visits,0.5,Lorry/Truck/Van,Visits
S92000003,2019,Count,Million Visits,1.4,Other,Visits
S92000003,2017,Count,Million Visits,1.2,Other,Visits
S92000003,2013,Count,Million Visits,1.4,Bus or Coach - Organised Tour,Visits
S92000003,2019,Count,Million Visits,15.9,Train,Visits
S92000003,2015,Count,Million Visits,15.1,Train,Visits
S92000003,2014,Count,Million Visits,0.7,Bus or Coach - Organised Tour,Visits
S92000003,2013,Count,Million Visits,0.8,Boat/Ship/Ferry,Visits
S92000003,2016,Count,Million Visits,2.1,Other,Visits
S92000003,2016,Count,Million Visits,1.6,Bus or Coach - Organised Tour,Visits
S92000003,2013,Count,Million Visits,123.9,All,Visits
S92000003,2018,Count,Million Visits,137.8,All,Visits
S92000003,2017,Count,Million Visits,151.1,All,Visits
S92000003,2017,Count,Million Visits,8.5,Walked,Visits
S92000003,2014,Count,Million Visits,1.4,Car - hired,Visits
S92000003,2015,Count,Million Visits,7.7,Walked,Visits
S92000003,2016,Count,Million Visits,142,All,Visits
S92000003,2018,Count,Million Visits,2.7,Car - hired,Visits
S92000003,2018,Count,Million Visits,0.3,Lorry/Truck/Van,Visits
S92000003,2018,Count,Million Visits,0.2,Boat/Ship/Ferry,Visits
S92000003,2015,Count,Million Visits,0.6,Boat/Ship/Ferry,Visits
S92000003,2015,Count,Million Visits,0.1,Lorry/Truck/Van,Visits
S92000003,2019,Count,Million Visits,0.3,Lorry/Truck/Van,Visits
S92000003,2016,Count,Million Visits,0.3,Lorry/Truck/Van,Visits
S92000003,2013,Count,Million Visits,0.4,Lorry/Truck/Van,Visits
S92000003,2019,Count,Million Visits,2.3,Car - hired,Visits
S92000003,2015,Count,Million Visits,1.7,Car - hired,Visits
S92000003,2017,Count,Million Visits,0.6,Tube,Visits
S92000003,2013,Count,Million Visits,0.2,Tube,Visits
S92000003,2016,Count,Million Visits,2.5,Car - hired,Visits
S92000003,2014,Count,Million Visits,8.2,Walked,Visits
S92000003,2017,Count,Million Visits,6.4,Car - hired,Visits
S92000003,2016,Count,Million Visits,7.9,Walked,Visits
S92000003,2014,Count,Million Visits,0.1,Tube,Visits
S92000003,2018,Count,Million Visits,0.6,Tube,Visits
S92000003,2016,Count,Million Visits,0.5,Tube,Visits
S92000003,2015,Count,Million Visits,0.1,Tube,Visits
S92000003,2019,Count,Million Visits,2.5,Bus or Coach - Organised Tour,Visits
S92000003,2017,Count,Million Visits,16,Train,Visits
S92000003,2019,Count,Million Visits,1.6,Tube,Visits
S92000003,2018,Count,Million Visits,1.1,Bus or Coach - Organised Tour,Visits
S92000003,2014,Count,Million Visits,4.3,Taxi,Visits
S92000003,2016,Count,Million Visits,0.5,Caravan/Campervan,Visits
S92000003,2018,Count,Million Visits,3.5,Taxi,Visits
S92000003,2018,Count,Million Visits,16.8,Train,Visits
S92000003,2013,Count,Million Visits,13.2,Train,Visits
S92000003,2016,Count,Million Visits,14.1,Train,Visits
S92000003,2015,Count,Million Visits,2.9,Taxi,Visits
S92000003,2015,Count,Million Visits,1.9,Bus or Coach - Organised Tour,Visits
S92000003,2019,Count,Million Visits,7.5,Walked,Visits
S92000003,2013,Count,Million Visits,7.4,Walked,Visits
S92000003,2014,Count,Million Visits,14.3,Train,Visits
S92000003,2017,Count,Million Visits,3.1,Bus or Coach - Organised Tour,Visits
S92000003,2013,Count,Million Visits,2.7,Taxi,Visits
S92000003,2013,Count,Million Visits,0.2,Plane,Visits
S92000003,2017,Count,Million Visits,1.8,Plane,Visits
S92000003,2014,Count,Million Visits,82.2,Car - own/friends/family,Visits
S92000003,2017,Count,Million Visits,3.9,Taxi,Visits
S92000003,2016,Count,Million Visits,4.9,Taxi,Visits
S92000003,2013,Count,Million Visits,0.5,Motor cycle,Visits
S92000003,2013,Count,Million Visits,0.4,Caravan/Campervan,Visits
S92000003,2014,Count,Million Visits,0.5,Plane,Visits
S92000003,2019,Count,Million Visits,1.2,Bicycle,Visits
S92000003,2018,Count,Million Visits,0.3,Tram,Visits
S92000003,2019,Count,Million Visits,80,Car - own/friends/family,Visits
S92000003,2015,Count,Million Visits,14.2,Bus or Coach - Regular,Visits
S92000003,2018,Count,Million Visits,0.7,Bicycle,Visits
S92000003,2016,Count,Million Visits,0.7,Plane,Visits
S92000003,2019,Count,Million Visits,12.7,Bus or Coach - Regular,Visits
S92000003,2014,Count,Million Visits,0.3,Bus or Coach - Minibus,Visits
S92000003,2015,Count,Million Visits,0.2,Tram,Visits
S92000003,2015,Count,Million Visits,76,Car - own/friends/family,Visits
S92000003,2017,Count,Million Visits,1.5,Bicycle,Visits
S92000003,2015,Count,Million Visits,0.9,Plane,Visits
S92000003,2019,Count,Million Visits,0.4,Caravan/Campervan,Visits
S92000003,2013,Count,Million Visits,0.2,Bus or Coach - Minibus,Visits
S92000003,2018,Count,Million Visits,1.7,Plane,Visits
S92000003,2015,Count,Million Visits,0.9,Bus or Coach - Minibus,Visits
S92000003,2014,Count,Million Visits,0.2,Motor cycle,Visits
S92000003,2017,Count,Million Visits,0.8,Caravan/Campervan,Visits
S92000003,2019,Count,Million Visits,5.7,Taxi,Visits
S92000003,2014,Count,Million Visits,11.6,Bus or Coach - Regular,Visits
S92000003,2014,Count,Million Visits,0.1,Caravan/Campervan,Visits
S92000003,2019,Count,Million Visits,1.3,Plane,Visits
S92000003,2018,Count,Million Visits,0.2,Caravan/Campervan,Visits
S92000003,2014,Count,Million Visits,1.3,Bicycle,Visits
S92000003,2016,Count,Million Visits,0.1,Boat/Ship/Ferry,Visits
S92000003,2015,Count,Million Visits,124.1,All,Visits
S92000003,2013,Count,Million Visits,1.5,Bicycle,Visits
S92000003,2017,Count,Million Visits,92.6,Car - own/friends/family,Visits
S92000003,2016,Count,Million Visits,13.8,Bus or Coach - Regular,Visits
S92000003,2015,Count,Million Visits,0.8,Bicycle,Visits
S92000003,2019,Count,Million Visits,0.5,Boat/Ship/Ferry,Visits
S92000003,2013,Count,Million Visits,0.7,Other,Visits
S92000003,2013,Count,Million Visits,1.7,Car - hired,Visits
S92000003,2014,Count,Million Visits,127.1,All,Visits
S92000003,2019,Count,Million Visits,133.6,All,Visits
S92000003,2018,Count,Million Visits,11.2,Walked,Visits
S92000003,2017,Count,Million Visits,0.5,Boat/Ship/Ferry,Visits
S92000003,2015,Count,Million Visits,0.2,Motor cycle,Visits
S92000003,2017,Count,Million Visits,13.2,Bus or Coach - Regular,Visits
S92000003,2013,Count,Million Visits,12.8,Bus or Coach - Regular,Visits
S92000003,2019,Count,Million Visits,0.4,Tram,Visits
S92000003,2017,Count,Million Visits,0.6,Tram,Visits
S92000003,2014,Count,Million Visits,0.4,Tram,Visits
S92000003,2013,Count,Million Visits,0,Tram,Visits
S92000003,2016,Count,Million Visits,0.9,Bicycle,Visits
S92000003,2016,Count,Million Visits,91.9,Car - own/friends/family,Visits
S92000003,2018,Count,Million Visits,12.2,Bus or Coach - Regular,Visits
S92000003,2018,Count,Million Visits,84.2,Car - own/friends/family,Visits
S92000003,2013,Count,Million Visits,79.7,Car - own/friends/family,Visits
S92000003,2016,Count,Million Visits,0.2,Tram,Visits
S92000003,2015,Count,Million Visits,0.2,Caravan/Campervan,Visits
